lat0,lon0,tmin_C__delta_after_minus_before,tmax_C__delta_after_minus_before,vpd__delta_after_minus_before,duration__delta_after_minus_before,intensity__delta_after_minus_before,frequency__delta_after_minus_before
-31.5,19,0.734319272,0.473794932,0.122558441,0.575,0.079487101,0.043333333
-31.25,18,0.258856862,1.229142867,0.054536395,0.175,0.309496376,0
-31,18,0.295257608,1.038345073,0.059877067,0.064102564,0.156591312,0.073333333
-31,18.25,0.462444596,0.552201711,0.071881845,0.136363636,0.136985379,0.003333333
-30.75,18,0.32760957,0.978059301,0.073620417,0.147727273,0.220211917,0.013333333
-30.75,18.25,0.51841681,0.506611283,0.082648953,0.133333333,0.14596705,0.043333333
-30.5,17.5,0.143594777,1.127637442,0.031223429,0.333333333,0.199515627,0.073333333
-26.75,27.5,0.898394462,1.750268333,0.250084896,0.547745358,0.174970655,0.26
-26.75,27.75,0.914227374,1.76231382,0.238158393,0.811414392,0.155949297,0.256666667
-26.75,28,0.838660282,1.742247224,0.227923518,0.630208333,0.101258581,0.27
-26.75,28.25,0.845817556,1.372468498,0.130820833,0.285714286,0.23069004,0.163333333
-26.75,28.5,0.81607564,1.381430272,0.12631545,0.346273292,0.233429507,0.163333333
-26.75,28.75,0.8492778,1.280838066,0.112510595,0.434782609,0.226074448,0.156666667
-26.75,29,0.851094656,1.224001583,0.107849874,0.432126697,0.156553757,0.18
-26.5,25.75,0.527748012,0.618189405,0.122875643,0.510869565,0.167458926,0.143333333
-26.5,26.5,0.849193302,1.388448776,0.254124657,0.305555556,0.217969613,0.25
-26.5,26.75,0.719576452,1.459113477,0.254506954,0.130769231,0.237012537,0.243333333
-26.5,27.5,0.920187299,1.754837786,0.243885601,0.617554859,0.174214062,0.306666667
-26.5,27.75,0.89043479,1.719193436,0.225115859,0.453079179,0.190508115,0.303333333
-26.5,28,0.776643798,1.667639305,0.21538186,0.659824047,0.148980144,0.273333333
-26.5,28.25,0.705983183,1.594271401,0.195564587,0.313519814,0.148745435,0.323333333
-26.5,28.5,0.770185102,1.597098723,0.189521224,0.171875,0.163109634,0.353333333
-26.5,28.75,0.819018901,1.605660396,0.180372499,0.266578249,0.185591537,0.31
-26.5,29,0.816610675,1.684779956,0.177402392,0.302380952,0.190451516,0.27
-26.5,29.25,0.789255008,1.721966675,0.173809536,0.022332506,0.166688393,0.26
-26.5,29.5,0.925422229,1.173573723,0.090231488,0.41005291,0.167633349,0.246666667
-26.25,25.75,0.493629892,0.566354889,0.110121475,0.133333333,0.059077871,0.2
-26.25,26.25,0.9215004,1.298783151,0.229818647,0.0591133,0.228604659,0.21
-26.25,26.5,0.929021067,1.414495437,0.238991533,0.357758621,0.218720589,0.166666667
-26.25,26.75,0.865614458,1.526900367,0.241541446,0.285714286,0.171696779,0.213333333
-26.25,27,0.856983773,1.596266184,0.236991406,0.131034483,0.20262421,0.21
-26.25,27.25,0.964636105,1.657378642,0.237696431,0.63627451,0.241177711,0.176666667
-26.25,27.5,0.909834227,1.611080748,0.220665387,0.565756824,0.172859882,0.243333333
-26.25,27.75,0.876802846,1.552783203,0.19796115,0.734848485,0.084927694,0.333333333
-26.25,28,0.84317259,1.51310801,0.191837289,0.748847926,0.088453612,0.266666667
-26.25,28.25,0.807280147,1.524171527,0.186219367,0.621212121,0.08910845,0.29
-26.25,28.5,0.839342889,1.49955441,0.175616736,0.28125,0.097580376,0.333333333
